particulars,uom,unit_cost,supply_code,specifications,category_item_id,category_item_budget_id,category_group_id,is_ppmp
Brown Sugar mascuvado,KILO,80.53,AG-113,1040405000-Food Supplies Inventory - 00000-Food Supplies Inventory,5,6,5,
17-0-17 Fertilizer 50kg/Bag,BAG,3960.00,AG-044,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,9,10,5,
24D Esther Herbicide/ Liter,BOTTLE,550.00,AG-001,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,9,10,5,
Acetic acid5,PIECE,1286.15,AG-002,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,9,10,5,
Ammonium molybdatecrystals,PIECE,171.48,AG-004,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,9,10,5,
Ammonium Phosphate 16-20-0 50kg/Bag,BAG,3960.00,AG-043,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,9,10,5,
Ammonium Sulfate (21-0-0) 50kg/Bag,BAG,1980.00,AG-045,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,9,10,5,
Anhydrous sodium sulfate powder,PIECE,1124.42,AG-005,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,9,10,5,
Assorted Spices halal compliant,LOT,8857.81,AG-006,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,9,10,5,
BaoBao Chases,UNIT,48717.93,AG-007,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,9,10,5,
Barium sulfate,PIECE,857.43,AG-008,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,9,10,5,
Benedicts solution,PIECE,1929.24,,1040409000-Agricultural and Marine Supplies Inventory - 00000-Agricultural and Marine Supplies Inventory,9,10,5,
