Particulars,Unit,Unit Cost,Stock/Property #,UMIS Account Code and Account Title,UACS Code - Accounting,Account Title - Accounting,UACS Code - Budget,Account Title - Budget,Account Group,Budget Category,PPMP?
Health Kit for Hatag Bilig,UNIT,"24,157.65",53MED-79,"1040204000-Medical, Dental and Laboratory Supplies for Distribution - 00000-Medical, Dental and Laboratory Supplies for Distribution",1040204000,"Medical, Dental and Laboratory Supplies for Distribution",5020399000,Other Supplies and Materials Expenses,Other Supplies and Materials Expenses,MOOE: Supplies & Semi-Expendables,
20 reams bondpaper @P250*20,REAM,"5,808.00",OS-1010,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
20 reams bondpaper @P300*20,REAM,"10,000.00",OS-1012,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
30 reams bondpaper @P300*30,REAM,"9,000.00",OS-1008,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
A4 Bond paper,BOX,"1,200.00",OS-410,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
A4 Bond paper,BOX,"1,200.00",OS-339,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
BOND PAPER,REAM,310,DBP-80141505-TS-023,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
Board paper for certificates (White -  8.5 x 13”),PACK,100.75,OS-301,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
Bond Paper (A4),REAM,200,OS-701,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
Bond Paper A4,REAM,330,OS-844,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
"Bond Paper Short (8.5"" x 11"") 70gsm 5 Reams/ Box",BOX,"1,787.50",OS,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
"Bond Paper Short (8.5"" x 11"") 70gsm 5 Reams/ Box",BOX,"1,787.50",OS-020,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
"Bond Paper; Short (8.5""x11"") 80gsm 5 Reams/ Box",BOX,"1,980.00",OS-1007,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
"Bond Paper; Short (8.5""x11""); 80gsm",REAM,242,OS,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
Bond paper A3 297 x 420 mm 70gsm 5 Reams/ Box,BOX,"3,575.00",OS-014,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
Bond paper A3 297 x 420 mm80gsm 5 Reams/ Box,BOX,"3,883.00",OS-015,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
Bond paper A4,BOX,"1,650.00",OS-400,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
Bond paper A4 814 x 1134 70gsm 5 Reams/ Box,BOX,"2,035.00",OS-016,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
Bond paper A4 814 x 1134 70gsm 5 Reams/ Box,BOX,"1,650.00",OS,1040401000-Office Supplies Inventory - 00001-Printing Papers,1040401000,Office Supplies Inventory,5020301000,Office Supplies Expenses,Office Supplies Expenses,MOOE: Supplies & Semi-Expendables,
